questionType,contentType,contentBody,intAnswer,prepTime(in_seconds),floatAnswer.max,floatAnswer.min,fitbAnswer,mcscAnswer,subjectiveAnswer,option.1,option.2,option.3,option.4,option.5,mcmcAnswer,tagRelationships,difficultyLevel,answerExplanationType,answerExplanation
mcsc,markdown,Riya is learning about prompt engineering and reads that Chain-of-Thought (CoT) prompting dramatically improves AI accuracy. What does Chain-of-Thought prompting specifically instruct the LLM to do?,,,,,,2,,Summarise the user's question before answering it,Break down a problem into step-by-step reasoning before arriving at a final answer,Skip intermediate steps and directly produce the most common pattern-matched answer,Translate the prompt into multiple languages to find the best interpretation,,,69f05358f83aa704824d2c4e,0,markdown,"Chain-of-Thought (CoT) Prompting forces the LLM to reason through intermediate steps before giving a final answer — similar to a student ""showing their work."" This keeps each reasoning step on track and dramatically reduces errors.
- A is incorrect: summarising the question is not CoT — CoT is about reasoning through the *answer*.
- C is incorrect: that is exactly what basic (non-CoT) prompting does — CoT was invented to fix this.
- D is incorrect: CoT has nothing to do with language translation."
mcsc,markdown,Arjun wants to use Zero-Shot Chain-of-Thought prompting without giving the AI any examples. He wants to trigger step-by-step reasoning with just a phrase added to his prompt. Which of the following phrases achieves this?,,,,,,3,,Give me the most concise answer possible.,Here is a solved example — now solve this:,Let's think step by step.,You are a helpful AI assistant.,,,69f05358f83aa704824d2c4e,0,markdown,"Zero-Shot CoT uses a trigger phrase alone — no examples are needed. ""Let's think step by step"" is the classic Zero-Shot CoT trigger that instructs the model to reason sequentially before answering.
- A is incorrect: asking for concise answers discourages step-by-step reasoning.
- B is incorrect: providing a solved example is Few-Shot CoT, not Zero-Shot CoT.
- D is incorrect: this is a Role instruction, not a CoT trigger."
mcsc,markdown,"In a Structured Prompt, there are five key components: Role, Task, Instructions, Constraints, and Output Format. Meera is building an agent that must never recommend stocks directly and must keep advice under 200 words. Which component of the structured prompt should contain these rules?",,,,,,3,,Role — it defines the AI's persona and expertise,Task — it specifies what the AI is supposed to deliver,Constraints — it specifies what the AI must NOT do or must limit,Output Format — it specifies how the response should look,,,69f05358f83aa704824d2c4e,0,markdown,"Constraints are the ""guardrails"" of a Structured Prompt. Rules like ""never recommend direct stocks"" and ""keep advice under 200 words"" are restrictions on the AI's behaviour — they belong in the Constraints section.
- A is incorrect: Role defines who the AI is (e.g., ""You are a senior financial advisor""), not what it cannot do.
- B is incorrect: Task states the specific job to be done, not the limits.
- D is incorrect: Output Format specifies structure and style (e.g., bullet points, sections), not behavioural limits."
mcsc,markdown,"After building his first agent prompt, Dev wants to evaluate whether it is ready to use. His instructor teaches him a quick evaluation checklist. What does the CICO Framework stand for?",,,,,,2,,"Context, Instructions, Commands, Output","Clarity, Intent, Constraints, Output Specification","Content, Implementation, Complexity, Optimisation","Character, Instruction, Concept, Operation",,,69f05358f83aa704824d2c4e,0,markdown,"The CICO Framework is a 4-point checklist for evaluating prompt quality: **C**larity (is every instruction crystal clear?), **I**ntent (does the prompt communicate the goal?), **C**onstraints (are guardrails in place?), **O**utput Specification (is the format and length defined?).
- A, C, and D are incorrect: they are fabricated expansions that do not match the framework taught in the session."
mcsc,markdown,"Tanvi is building a customer support AI agent. Her system prompt reads: *""You are an AI. Don't give wrong answers. Don't be rude. Help users with their problems.""* After deployment, the agent gives inconsistent responses — sometimes too verbose, sometimes too brief — and occasionally goes off-topic. Based on Structured Prompt and Best Practices principles, what is the PRIMARY reason her prompt fails?",,,,,,2,,The prompt is too short — it needs to be at least 500 words long to work properly,"The prompt violates best practices by using negative instructions and lacks a specific Role, Output Format, and clear Task",The AI model is not powerful enough to follow short instructions,"The prompt should be written in Python code, not plain English",,,69f05358f83aa704824d2c4e,0.5,markdown,"Tanvi's prompt has two compounding problems: (1) It uses negative instructions (""Don't give wrong answers"", ""Don't be rude"") instead of positive ones — best practice says to write what the AI *should* do, not what it shouldn't. (2) The Role is just ""You are an AI"" — there are no specific traits, no Task clarity, no Output Format, and no Constraints that positively guide the behaviour. These are the root causes of inconsistency.
- A is incorrect: prompt quality is about structure and specificity, not word count.
- C is incorrect: even powerful models produce inconsistent outputs with vague prompts.
- D is incorrect: system prompts are written in natural language and passed as strings."
mcsc,markdown,"Karan is trying to convince his team lead to invest time in learning advanced prompt engineering. He wants to cite research on the impact of Chain-of-Thought prompting. According to the session, what is the approximate improvement in accuracy on logical and math problems when CoT prompting is applied to models like GPT-4?",,,,,,3,,10–15%,25–30%,40–50%,70–80%,,,69f05358f83aa704824d2c4e,0.5,markdown,"Research on GPT-4 and similar large language models shows that adding a CoT trigger like ""Let's think step by step"" improves accuracy on logical and math problems by approximately **40–50%**. This is because forcing step-by-step reasoning prevents the model from pattern-matching to shallow, common answers and instead commits it to logically correct intermediate steps.
- A and B underestimate the documented improvement.
- D overstates the improvement — 70–80% is not supported by the research cited in the session."
mcmc,markdown,Sahil is designing a system prompt for an AI financial planning agent. He wants to embed Chain-of-Thought reasoning directly into the agent's instructions so it always reasons carefully before answering. Which of the following phrases or instructions are valid ways to trigger CoT reasoning in a prompt? **Select all that apply.**,,,,,,,,Let's think step by step.,Walk me through your reasoning before giving a final answer.,Give me the shortest possible answer without any explanation.,"Break this problem down first, then provide your recommendation.",Think carefully before answering.,"1, 2, 4, 5",69f05358f83aa704824d2c4e,0.5,markdown,"All four — A, B, D, and E — are valid CoT triggers. They instruct the model to reason before concluding. Each triggers the ""show your work"" behaviour in slightly different ways:
- A (""Let's think step by step"") is the classic Zero-Shot CoT phrase.
- B (""Walk me through your reasoning"") explicitly demands visible reasoning.
- D (""Break this problem down first"") instructs decomposition before answering.
- E (""Think carefully before answering"") is a gentler CoT trigger.
- C is incorrect: asking for the ""shortest possible answer without explanation"" actively suppresses CoT reasoning — it is the opposite of what CoT intends."
mcmc,markdown,"Deepika is reviewing a set of Agent Prompt Design Best Practices before finalising her AI agent. Which of the following are recommended best practices for designing agent prompts, as covered in the session? **Select all that apply.**",,,,,,,,"Use positive instructions (""Give specific answers"") instead of negative ones (""Don't be vague"")","Anchor the AI's persona with 2–3 specific personality traits in the Role, not just ""You are an AI""","If a prompt fails, change the Role, Constraints, and Output Format all at once to fix problems faster","Specify what the agent should do in edge cases (e.g., when a question is outside its expertise)","Place the most critical instruction at the very end of the prompt, as LLMs pay more attention to the end","1, 2, 4, 5",69f05358f83aa704824d2c4e,0.5,markdown,"- A is correct: LLMs sometimes over-focus on negated concepts. Positive instructions are clearer and more effective.
- B is correct: A vague role like ""You are an AI"" produces inconsistent behaviour. Specific traits (""patient, encouraging, specialised in..."") make the persona consistent.
- C is incorrect: this violates Iterative Prompt Refinement principles. You should change only ONE component at a time so you know which change actually fixed the problem.
- D is correct: always adding fallback instructions prevents the agent from hallucinating answers outside its scope.
- E is correct: research shows LLMs pay more attention to instructions at the beginning and end of a prompt — the most important instruction should be placed last."
mcmc,markdown,"Rohan is building a Business Intelligence AI agent in Python that evaluates startup ideas and gives GO/NO-GO recommendations. He wants to apply all the advanced techniques from this session. His agent prompt includes the following elements:

- A named persona: *""You are Priya, a Business Intelligence Analyst specialising in Indian early-stage startups.""*
- A 6-step numbered reasoning process embedded in the prompt
- A constraint: *""Do not give a vague answer — your recommendation must be clearly GO or NO-GO.""*
- An output format with bold headers for each step
- A Python placeholder `{startup_description}` replaced via `.format()` in code

Which of these design decisions are **correctly aligned** with the advanced prompt engineering techniques covered in the session? **Select all that apply.**",,,,,,,,"Naming the persona (""Priya"") and giving her a specific specialisation anchors the role firmly, producing more consistent agent behaviour",The 6-step numbered reasoning process embeds Chain-of-Thought directly into the agent's system prompt,"Using a Python placeholder `{startup_description}` makes the prompt reusable for any startup, not just one",Bold headers in the output format are unnecessary and add no value to the agent's consistency,"The constraint ""clearly GO or NO-GO"" prevents vague, uncommitted outputs from the agent","1, 2, 3, 5",69f05358f83aa704824d2c4e,1,markdown,"- A is correct: best practices say to anchor the persona with 2–3 specific details; a named, specialised role produces far more consistent outputs than ""You are an AI.""
- B is correct: embedding a numbered step-by-step reasoning process directly in the system prompt is exactly how CoT is applied inside agent prompts.
- C is correct: using placeholders like `{startup_description}` with `.format()` or f-strings makes the prompt dynamically reusable for any input — a core Python prompt design pattern covered in the session.
- D is incorrect: specifying output format (including bold headers) is one of the five building blocks of a Structured Prompt. It ensures every evaluation follows the same readable, comparable structure.
- E is correct: the constraint forces a definitive answer and prevents the agent from producing the vague ""it depends"" responses common in under-constrained prompts."
mcmc,markdown,"Nisha is working on improving her AI agent's prompt using the Iterative Prompt Refinement process. She runs her initial prompt and receives a generic, unfocused output that could apply to any situation. She now wants to systematically fix it. Which of the following statements about Iterative Prompt Refinement are **TRUE**? **Select all that apply.**",,,,,,,,"You should change only ONE component of the prompt at a time between test runs, so you know exactly which change improved the output","If the AI's output is too generic and lacks context-specific insight, the correct diagnosis is to add more Role and Context to the prompt","If the AI's output has the wrong structure (e.g., paragraphs instead of bullet points), the correct fix is to add or improve the Output Format specification",Rewriting the entire prompt from scratch at once is the most efficient way to resolve multiple quality problems simultaneously,Keeping a log of what you changed and how the output improved helps build long-term intuition for prompt design,"1, 2, 3, 5",69f05358f83aa704824d2c4e,1,markdown,"- A is correct: changing only one component at a time is the cardinal rule of Iterative Prompt Refinement — it isolates the cause-and-effect relationship between the prompt change and the output quality change.
- B is correct: a generic, context-free output signals that the AI has no Role or background to anchor its reasoning — adding more specific Role/Context is the correct diagnosis for ""too generic"" outputs.
- C is correct: wrong output structure (format mismatch) is a direct sign that the Output Format specification is missing or unclear — fixing that specific component is the right move.
- D is incorrect: rewriting the entire prompt at once violates the core principle of Iterative Refinement. If everything changes at once, you cannot identify which fix actually worked, making future iterations harder.
- E is correct: tracking iterations builds ""prompt design intuition"" — the session explicitly recommends maintaining an iteration log for this reason."
subjective,markdown,"# Subjective Assignment — Advanced Prompt Engineering for Agents

---

## Q1 (Practical Coding Task | Medium Difficulty)

### The Prompt Engineer's Toolbox

You have just learned the three most powerful advanced prompting techniques: **Chain-of-Thought (CoT)**, **Structured Prompts**, and **Reasoning Prompts**. Now it is time to move from understanding to building.

Your task is to build a **Python-based Prompt Builder** for a real-world AI agent use case of your choice from the list below:

**Choose ONE agent to build a prompt for:**
- A **Mock Interview Agent** — helps students prepare for data/AI job interviews by asking questions and giving structured feedback
- A **Code Review Agent** — reviews a Python code snippet and provides feedback on bugs, readability, and improvements
- A **Product Launch Advisor Agent** — evaluates whether a new product idea is ready to launch, giving a GO/NO-GO recommendation

---

### What You Must Build (in a single Python file):

**Part 1 — Structured Prompt Builder Function**

Write a Python function called `build_agent_prompt(...)` that:
- Accepts at least **2 dynamic input parameters** relevant to your chosen agent (e.g., user background, product description, code snippet)
- Constructs a complete **Structured Prompt** using all **5 components** as separate variables:
  - `role` — Give the agent a name and at least 2 specific personality traits
  - `task` — One clear sentence defining the agent's deliverable
  - `instructions` — At least **4 numbered steps** that embed **Chain-of-Thought reasoning** (the agent must follow these steps before responding)
  - `constraints` — At least **3 guardrails** written as positive instructions (what the agent MUST do, not what it must NOT do — apply Best Practice #2)
  - `output_format` — Clearly specify sections, headers, or structure of the expected response
- Combines all components using an **f-string** into a single `full_prompt` string
- Returns `full_prompt`

**Part 2 — Reasoning Prompt Section**

Inside the same file, write a **separate string variable** called `reasoning_prompt` that demonstrates one of the three Reasoning Prompt types (Comparison, Causal, or Decision-Making) — relevant to your agent's domain. This should be a standalone prompt (not inside the function), showing criteria-based evaluation and a request for a final recommendation.

**Part 3 — Demonstration**

At the bottom of the file:
- Call `build_agent_prompt(...)` with **two different sets of inputs** (simulate two different users or scenarios)
- Print both outputs with clear separator lines
- Add a `print` statement that outputs the **character count** of each generated prompt (for token cost awareness)

---

### Example Output (for reference — your output will differ based on your chosen agent):

```
============================================================
AGENT PROMPT — Scenario 1
============================================================
[Full assembled prompt with all 5 components visible]
Prompt length: 1842 characters

============================================================
AGENT PROMPT — Scenario 2
============================================================
[Full assembled prompt with different inputs injected]
Prompt length: 1796 characters
```

---

### Submission Instructions

- Code all the parts mentioned above in VS Code in a single `.py` file named `prompt_builder.py`
- Run the code and verify both scenario outputs are printed correctly with character counts
- Then submit the code in the code editor / answer box in the LMS
",,,,,,,,,,,,,,69f05358f83aa704824d2c4e,1,markdown,"### Answer Explanation (Ideal Solution Walkthrough)

**What a high-quality solution looks like:**

```python
# prompt_builder.py
# AI Agent Prompt Builder — Mock Interview Agent example

def build_agent_prompt(candidate_background, target_role):
    
    role = """"""You are Riya, a sharp and encouraging technical interview coach 
    with 12 years of experience preparing candidates for data and AI roles 
    at top Indian tech companies. You are known for asking precise, 
    scenario-based questions and giving actionable, constructive feedback.""""""
    
    task = f""Conduct a focused mock interview for a candidate targeting a {target_role} role and provide structured feedback on their responses.""
    
    instructions = """"""Follow this process for each interview question:
    Step 1: Ask one scenario-based question relevant to the target role — not a theoretical definition question.
    Step 2: After the candidate responds, identify the strongest point in their answer.
    Step 3: Identify the one biggest gap or missing concept in their answer.
    Step 4: Give specific, actionable advice on how to improve that answer.
    Step 5: Rate the response on a scale of 1–5 with a one-line justification.""""""
    
    constraints = """"""Interview Guidelines:
    - Ask one question at a time — wait for the candidate's response before proceeding.
    - Frame all feedback constructively and encouragingly — treat the candidate as capable and motivated.
    - Ground every piece of feedback in a specific skill or concept, not a vague ""be more detailed.""
    - Keep each feedback section under 100 words.
    - If the candidate's answer is completely off-track, guide them with one Socratic hint before revealing the correct direction.""""""
    
    output_format = """"""Structure each exchange as:
    **Question:** [Your scenario-based interview question]
    **Candidate's Strongest Point:** [1 sentence]
    **Gap Identified:** [1 sentence]
    **Improvement Advice:** [2–3 actionable sentences]
    **Score:** [X/5] — [One-line justification]""""""
    
    full_prompt = f""""""
    {role}
    
    Task: {task}
    
    {instructions}
    
    {constraints}
    
    {output_format}
    
    Candidate Background: {candidate_background}
    Target Role: {target_role}
    """"""
    
    return full_prompt


# Part 2 — Reasoning Prompt (Decision-Making type)
reasoning_prompt = """"""
I am preparing for interviews for two different roles — Data Analyst and ML Engineer.
I have 6 months to prepare and can dedicate 2 hours per day.
My background: BCom graduate, 1 year experience in Excel-based data reporting, 
completed a Python basics course.

Given these constraints (background, time, and preparation capacity), which role should I target first?

Reason through both options considering:
1. Skill gap to bridge for each role
2. Time required to reach interview-ready level
3. Availability of entry-level positions in India
4. Salary range at the entry level

Then give me a clear final recommendation with your reasoning.
""""""

# Part 3 — Demonstration

separator = ""="" * 60

prompt_1 = build_agent_prompt(
    candidate_background=""BCom graduate, 2 years experience in sales analytics using Excel, completed Python basics course"",
    target_role=""Data Analyst""
)

prompt_2 = build_agent_prompt(
    candidate_background=""B.Sc. Statistics, 1 year internship in data labelling, knows pandas and basic ML concepts"",
    target_role=""Junior ML Engineer""
)

print(separator)
print(""AGENT PROMPT — Scenario 1"")
print(separator)
print(prompt_1)
print(f""Prompt length: {len(prompt_1)} characters"")

print()
print(separator)
print(""AGENT PROMPT — Scenario 2"")
print(separator)
print(prompt_2)
print(f""Prompt length: {len(prompt_2)} characters"")
```

**Key things the solution demonstrates:**
- Each of the 5 Structured Prompt components is stored as a separate variable — easy to update individually
- The Role gives the agent a name (""Riya"") and 3 specific traits — firmly anchored persona
- Instructions Steps 1–5 embed CoT reasoning directly — agent must follow them in sequence
- Constraints use positive framing (""frame all feedback constructively"") not negative (""don't be mean"")
- Output Format uses bold headers for consistent, readable structure
- The f-string injects dynamic inputs cleanly
- The reasoning prompt uses the Decision-Making type with defined criteria and a final recommendation demand
- Two different scenarios show the function's reusability

**Alternative approaches:**
- Could use a Python class with prompt components as attributes and a `generate()` method
- Could use a dictionary to store components and join them for more modular prompt management
- Could add a `refine_prompt()` function that implements the 4-step Iterative Refinement loop
"
